interval_label,anchor_strategy,model_id,formula,n_obs,r_sq,marginal_r2,aic,converged,interval_hours
20day,max_to_sunset,B29a,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1,35,0.852279865194936,0.872487042344449,200.371293408399,TRUE,480
20day,mid_to_mid,BT1,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",35,0.893753926340032,0.912615153386441,174.254395762424,TRUE,480
210min,within_day,M9,butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * temperature_avg,1377,0.17153087959724,0.282612477159442,5019.26163567758,TRUE,3.5
21day,first_to_first,B29d,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1),30,0.664312848286866,0.736543505563319,183.030643821314,TRUE,504
21day,last_to_last,B29a,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1,30,0.71789811828008,0.786527037629136,174.108545094621,TRUE,504
21day,max_to_max,B29a,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1,30,0.776593435190431,0.877411213563376,181.765036296586,TRUE,504
21day,max_to_sunset,B29a,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1,30,0.824272736833408,0.848877818096091,165.782973943723,TRUE,504
21day,mid_to_mid,B29d,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1),30,0.813107335180819,0.885436331411364,167.279365423516,TRUE,504
22day,first_to_first,B29,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1),25,0.692674547662381,0.742454120190148,141.135374860375,TRUE,528
22day,last_to_last,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",25,0.827176987890491,0.868760662696271,136.218040962683,TRUE,528
22day,max_to_max,B29d,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1),25,0.683805850033894,0.740986572594806,144.057084155963,TRUE,528
22day,max_to_sunset,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",25,0.848921819573788,0.884837197745063,138.381802299867,TRUE,528
22day,mid_to_mid,B29d,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1),25,0.782163275094222,0.85629139446601,137.273432517845,TRUE,528
23day,first_to_first,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",21,0.732444163419555,0.806697289573697,123.055933677302,TRUE,552
23day,last_to_last,B40,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1),21,0.786649923087528,0.841822896507774,125.020590016888,TRUE,552
23day,max_to_max,B29a,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1,21,0.625861274417072,0.677073033898537,120.9009317662,TRUE,552
23day,max_to_sunset,B29b,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + temp_at_max_count_t_1,21,0.765896348164048,0.801400179886077,126.845812531983,TRUE,552
23day,mid_to_mid,B40,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1),21,0.83823654407412,0.90175313032693,107.142484171518,TRUE,552
240min,within_day,M16,butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * temperature_avg * butterflies_direct_sun_t_lag,1463,0.164131614602136,0.160079438543088,4872.03571165069,TRUE,4
24day,first_to_first,B55,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1 + wind_max_gust_t_1,18,0.744363177540709,0.804255539766948,129.526205160061,TRUE,576
24day,last_to_last,B40,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1),18,0.820254982239007,0.959879888712638,102.938151148498,TRUE,576
24day,max_to_max,B17,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,18,0.808074349647998,0.85321628719317,125.181965191957,TRUE,576
24day,max_to_sunset,B11,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1,18,0.81885139258979,0.861474594080732,116.63477709767,TRUE,576
24day,mid_to_mid,B17,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,18,0.796506309301225,0.844378843076758,113.667830482888,TRUE,576
25day,first_to_first,B17,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,15,0.857688541119405,0.898318798059094,102.031455425813,TRUE,600
25day,last_to_last,B42,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1,15,0.776547223977327,0.840469885735211,120.510937130341,TRUE,600
25day,max_to_max,B11,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1,15,0.829329124950147,0.875501113291135,99.6464976478704,TRUE,600
25day,max_to_sunset,B39,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,15,0.925768755152814,0.968291194168511,98.928125069919,TRUE,600
25day,mid_to_mid,B29b,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + temp_at_max_count_t_1,15,0.830441669834412,0.913325301615717,88.7243620567921,TRUE,600
26day,first_to_first,B15,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,12,0.862973391013359,0.89900620890463,81.1410262977396,TRUE,624
