model,description,AIC,BIC,logLik,df,AICc,df_ratio,obs_per_param,delta_AIC,delta_AICc,delta_BIC,weight_AIC,weight_AICc,weight_BIC,baseline_type,model_category,overfitting_risk
M27,Interaction: temp_at_max_count_t_1 × wind_max_gust (smooth),650.5530768834358,678.2927512309752,-314.2765384417179,11,653.6959340262929,0.11458333333333333,8.727272727272727,38.026547645027904,13.473997511478046,13.473997511478046,5.49515271359041e-9,9.481193651648007e-4,9.687273952777724e-4,Smooth,Interaction only,Low
M49,Additive + Interaction: temp_at_max_count_t_1 + sum_butterflies_direct_sun + temp_at_max_count_t_1×sum_butterflies_direct_sun (smooth),647.8769510511856,685.3740961061396,-308.9384755255928,15,653.8769510511856,0.15625,6.4,35.35042181277777,13.6550145363708,20.55534238664245,2.0945614547206277e-8,8.660753331013006e-4,2.808711159173847e-5,Smooth,Main + Interaction,Low
M7,Single: temp_at_max_count_t_1 (smooth),651.3177183141221,676.5356040846125,-315.65885915706104,10,653.9059536082398,0.10416666666666667,9.6,38.791189075714215,13.684017093424927,11.716850365115306,3.7492119210063665e-9,8.536067571147902e-4,0.002332175541375817,Smooth,Single predictor,Low
M52,Additive + Interaction: wind_max_gust + sum_butterflies_direct_sun + wind_max_gust×sum_butterflies_direct_sun (linear),650.0089211683655,682.506446882659,-312.00446058418277,13,654.4479455586095,0.13541666666666666,7.384615384615385,37.48239192995766,14.226009043794647,17.68769316316184,7.213427619909916e-9,6.509772144762467e-4,1.1781733547817176e-4,Linear,Main + Interaction,Low
M41,Additive + Interaction: temp_max + temp_at_max_count_t_1 + temp_max×temp_at_max_count_t_1 (smooth),648.7237471367444,686.2208921916983,-309.3618735683722,15,654.7237471367444,0.15625,6.4,36.197217898336476,14.501810621929508,21.40213847220116,1.3715564079346285e-8,5.671216617645839e-4,1.8391944431710206e-5,Smooth,Main + Interaction,Low
M3,Single: temp_min (smooth),652.8475998126338,678.0654855831242,-316.4237999063169,10,655.4358351067515,0.10416666666666667,9.6,40.32107057422593,15.21389859193664,13.24673186362702,1.7447388952730065e-9,3.972357236094213e-4,0.0010853047155975526,Smooth,Single predictor,Low
M9,Single: wind_max_gust (smooth),652.9312611965382,678.1491469670286,-316.4656305982691,10,655.5194964906559,0.10416666666666667,9.6,40.404731958130355,15.297559975841068,13.330393247531447,1.673260674184055e-9,3.8096182557601903e-4,0.001040842102526601,Smooth,Single predictor,Low
M53,Additive: All temperature (smooth),650.7706930572986,685.7680284419223,-311.3853465286493,14,655.9558782424838,0.14583333333333334,6.857142857142857,38.244163818890684,15.733941727668935,20.949274722425116,4.928616362208357e-9,3.062826286928949e-4,2.3065653302431562e-5,Smooth,Additive,Low
M67,All temp + all temp interactions (smooth),641.4206381037636,698.1365248328191,-297.7103190518818,23,656.753971437097,0.23958333333333334,4.173913043478261,28.894108865355747,16.53203492228215,33.317771113321896,5.285227066274591e-7,2.0550321971937543e-4,4.75533255520361e-8,Smooth,Complex,Moderate
M20,Interaction: temp_min × sum_butterflies_direct_sun (linear),654.6800453067626,677.376142500204,-318.3400226533813,9,656.7730685625766,0.09375,10.666666666666666,42.15351606835475,16.551132047761712,12.557388780706788,6.97943006018793e-10,2.035502979687115e-4,0.0015319360580651731,Linear,Interaction only,Low
M35,Additive + Interaction: temp_min + temp_at_max_count_t_1 + temp_min×temp_at_max_count_t_1 (smooth),651.0131768666181,688.5103219215721,-310.50658843330905,15,657.0131768666181,0.15625,6.4,38.48664762821022,16.791240351803253,23.691568202074905,4.365865219830249e-9,1.8052314321062484e-4,5.854425676911811e-6,Smooth,Main + Interaction,Low
M61,Additive: temp_at_max_count_t_1 + wind_max_gust (smooth),653.5424343030925,683.6727483812947,-314.77121715154624,12,657.3014704476708,0.125,8,41.0159050646846,17.079533932855952,18.853994661797515,1.2326763119715712e-9,1.5628983439625646e-4,6.575821928150673e-5,Smooth,Additive,Low
