Model,AIC,LogLik,N,delta_AIC
basic,282.3046246092469,-133.15231230462345,1648,9.817754194615304
ar1,280.44602725146615,-131.22301362573307,1648,7.959156836834552
lagged,272.4868704146316,-127.2434352073158,1642,0
