Model,Shapiro_p,ACF_lag1,Heteroscedasticity,DHARMa_KS,DHARMa_Dispersion,AIC
Basic,1.6586974021826256e-33,-0.046073110178079156,0.2828514128147471,1.5603382376615283e-31,0.976,282.3046246092469
AR1,9.744667212177744e-34,0.03743561366157361,0.3293104742360255,2.3024799043465402e-36,0.988,280.44602725146615
Lagged,1.901720666993053e-33,-0.009499608421216683,0.2809652216121642,1.142133152109317e-30,0.936,272.4868704146316
Hurdle_Binary,1.5442227095221605e-42,0.13687412662461093,-0.30973118770867913,3.660113561463321e-8,0.252,1529.008219875563
Zero_Inflated,1.658693442513656e-33,-0.04607312317704944,0.28285151568784656,5.993649766653353e-34,0.948,288.3046246025479
Threshold_Category,1.9500975254168665e-33,-0.046169869967451566,0.280991650522886,2.361811130033964e-31,0.984,282.4490389694252
Nonlinear,1.6440845293660267e-33,-0.0464455887734519,0.2813170182370333,8.641742274445851e-32,0.976,284.24513106054275
