Model,Wind_Effect,SE,P_value
Basic,0.0029412151507160894,0.0021514318798028075,0.1715950372039879
AR1,0.0030072746287230162,0.00209151654557896,0.15047830652199307
Lagged,0.0029458206069093587,0.0021456698818470865,0.16977902771586656
Hurdle_Binary,-0.0013218964907840043,0.019267681949596077,0.9453025031857165
Zero_Inflated,0.0029412113507599857,NA,NA
Threshold_5min,0.00384926501792959,0.024865544706616734,0.8769764960495366
Nonlinear,0.6263075362736507,0.610141680927757,0.3046582022406762
