"x","y","z"
2,0,8.42670674356454
2.10909090909091,0,7.79511218822595
2.21818181818182,0,7.1656062720897
2.32727272727273,0,6.54027763435814
2.43636363636364,0,5.92121491423362
2.54545454545455,0,5.31050675091849
2.65454545454545,0,4.71024178361509
2.76363636363636,0,4.12250865152577
2.87272727272727,0,3.54939599385286
2.98181818181818,0,2.99299244979873
3.09090909090909,0,2.45538665856572
3.2,0,1.93866725935616
3.30909090909091,0,1.44492289137242
3.41818181818182,0,0.97624219381683
3.52727272727273,0,0.534713805891736
3.63636363636364,0,0.122230012908125
3.74545454545455,0,-0.260807546196744
3.85454545454545,0,-0.614681107410654
3.96363636363636,0,-0.93967648512005
4.07272727272727,0,-1.23607949371137
4.18181818181818,0,-1.50417594757106
4.29090909090909,0,-1.74425166108556
4.4,0,-1.95659244864132
4.50909090909091,0,-2.14148412462477
4.61818181818182,0,-2.29921250342236
4.72727272727273,0,-2.43006339942053
4.83636363636364,0,-2.53432262700573
4.94545454545455,0,-2.61227600056439
5.05454545454545,0,-2.66420933448296
5.16363636363636,0,-2.69047768869161
5.27272727272727,0,-2.69254384993797
5.38181818181818,0,-2.67276151046367
5.49090909090909,0,-2.63350959776681
5.6,0,-2.57716703934548
5.70909090909091,0,-2.50611276269776
5.81818181818182,0,-2.42272569532175
5.92727272727273,0,-2.32938476471554
6.03636363636364,0,-2.22846889837721
6.14545454545455,0,-2.12235702380485
6.25454545454545,0,-2.01342806849657
6.36363636363636,0,-1.90406095995044
6.47272727272727,0,-1.79663462566456
6.58181818181818,0,-1.69352799313701
6.69090909090909,0,-1.59711998986589
6.8,0,-1.50978954334929
6.90909090909091,0,-1.43348437655
7.01818181818182,0,-1.36842739428963
7.12727272727273,0,-1.3144102968545
7.23636363636364,0,-1.27122478453093
7.34545454545455,0,-1.23866255760523
7.45454545454546,0,-1.21651531636371
7.56363636363636,0,-1.20457476109271
7.67272727272727,0,-1.20263259207852
7.78181818181818,0,-1.21048050960746
7.89090909090909,0,-1.22791021396587
8,0,-1.25471340544004
8.10909090909091,0,-1.29068178431629
8.21818181818182,0,-1.33560705088095
8.32727272727273,0,-1.38928090542033
8.43636363636364,0,-1.45149504822074
8.54545454545455,0,-1.5220411795685
8.65454545454546,0,-1.60071099974993
8.76363636363637,0,-1.68729620905134
8.87272727272727,0,-1.78158850775904
8.98181818181818,0,-1.88337959615937
9.09090909090909,0,-1.99246117453863
9.2,0,-2.10862494318313
9.30909090909091,0,-2.2316626023792
9.41818181818182,0,-2.36136585241315
9.52727272727273,0,-2.49752639357129
9.63636363636364,0,-2.63993592613995
9.74545454545455,0,-2.78838615040544
9.85454545454546,0,-2.94266876665407
9.96363636363636,0,-3.10257547517217
10.0727272727273,0,-3.26789797624604
10.1818181818182,0,-3.438427970162
10.2909090909091,0,-3.61395715720638
10.4,0,-3.79427723766549
10.5090909090909,0,-3.97917991182563
10.6181818181818,0,-4.16845687997314
10.7272727272727,0,-4.36189984239432
10.8363636363636,0,-4.55930049937549
10.9454545454545,0,-4.76045055120297
11.0545454545455,0,-4.96514169816307
11.1636363636364,0,-5.17316564054211
11.2727272727273,0,-5.38431407862641
11.3818181818182,0,-5.59837871270229
11.4909090909091,0,-5.81515124305605
11.6,0,-6.03442336997402
11.7090909090909,0,-6.2559867937425
