"x","y","z"
0,0,0.0780858597737067
0.125252525252525,0,0.0799177400725019
0.25050505050505,0,0.0816660692595946
0.375757575757576,0,0.0832472962232822
0.501010101010101,0,0.084577869851862
0.626262626262626,0,0.0855742390336317
0.751515151515151,0,0.0861528526568886
0.876767676767677,0,0.0862301596099302
1.0020202020202,0,0.0857226087810539
1.12727272727273,0,0.0845466490585571
1.25252525252525,0,0.0826187293307374
1.37777777777778,0,0.0798552984858922
1.5030303030303,0,0.0761728054123188
1.62828282828283,0,0.0714876989983148
1.75353535353535,0,0.0657164281321777
1.87878787878788,0,0.0587754417022047
2.0040404040404,0,0.0505811885966934
2.12929292929293,0,0.0410505905216902
2.25454545454545,0,0.0301681122135583
2.37979797979798,0,0.0180553578309541
2.50505050505051,0,0.00485055304704786
2.63030303030303,0,-0.00930807646499008
2.75555555555556,0,-0.0242823050319896
2.88080808080808,0,-0.0399339069807803
3.00606060606061,0,-0.056124656638192
3.13131313131313,0,-0.0727163283310546
3.25656565656566,0,-0.0895706963861975
3.38181818181818,0,-0.106549535130451
3.50707070707071,0,-0.123514618890644
3.63232323232323,0,-0.140327721993607
3.75757575757576,0,-0.156850618766169
3.88282828282828,0,-0.172945083535161
4.00808080808081,0,-0.188472890627412
4.13333333333333,0,-0.203296281499558
4.25858585858586,0,-0.217325932185235
4.38383838383838,0,-0.230562522037514
4.50909090909091,0,-0.243016525758979
4.63434343434343,0,-0.254698418052217
4.75959595959596,0,-0.265618673619814
4.88484848484848,0,-0.275787767164356
5.01010101010101,0,-0.285216173388428
5.13535353535354,0,-0.293914366994618
5.26060606060606,0,-0.30189282268551
5.38585858585859,0,-0.309162015163691
5.51111111111111,0,-0.315732419131746
5.63636363636364,0,-0.321614509292262
5.76161616161616,0,-0.326818760347825
5.88686868686869,0,-0.331355647001021
6.01212121212121,0,-0.335235643954436
6.13737373737374,0,-0.338469351126022
6.26262626262626,0,-0.341068672108511
6.38787878787879,0,-0.343046284627314
6.51313131313131,0,-0.344414876610263
6.63838383838384,0,-0.345187135985187
6.76363636363636,0,-0.345375750679917
6.88888888888889,0,-0.344993408622282
7.01414141414141,0,-0.344052797740115
7.13939393939394,0,-0.342566605961243
7.26464646464646,0,-0.340547521213499
7.38989898989899,0,-0.338008231424712
7.51515151515152,0,-0.334961424522712
7.64040404040404,0,-0.331419788435331
7.76565656565657,0,-0.327396011090398
7.89090909090909,0,-0.322902780415743
8.01616161616162,0,-0.317952784339197
8.14141414141414,0,-0.31255871078859
8.26666666666667,0,-0.306733247691752
8.39191919191919,0,-0.300489082976515
8.51717171717172,0,-0.293838904570707
8.64242424242424,0,-0.28679540040216
8.76767676767677,0,-0.279371258398703
8.89292929292929,0,-0.271579166488167
9.01818181818182,0,-0.263431812598383
9.14343434343434,0,-0.25494188465718
9.26868686868687,0,-0.246122070592389
