effect,component,term,estimate,std.error,statistic,p.value,window
fixed,cond,sustained_wind_c,0.029412245685113032,0.02151430667944588,1.367101720884764,0.17159342396693164,30
fixed,cond,gust_wind_c,-0.022638141591368316,0.016173421635998886,-1.399712571703456,0.16159940760710054,30
fixed,cond,sustained_wind_c,0.003355898572336649,0.003943858405883813,0.85091761086808,0.3948151213159449,60
fixed,cond,gust_wind_c,-0.0014140035186859213,0.002839411375210457,-0.497991777813849,0.6184898374708798,60
fixed,cond,sustained_wind_c,0.003281854725253872,0.006026088927686961,0.544607748846078,0.586023324195267,90
fixed,cond,gust_wind_c,-0.002192353722828147,0.004292274635428028,-0.5107673457641007,0.6095139770475256,90
fixed,cond,sustained_wind_c,0.0042077932316095185,0.007851395261678771,0.5359293592244667,0.5920073727455686,120
fixed,cond,gust_wind_c,-0.0025001701026091906,0.005623190720544641,-0.4446176960483805,0.6565960568693909,120
