"","Avg Sustained","Max Gust","Gust Sum","Gust Sum >2m/s","Gust Hours","Minutes >2m/s","Gust SD","Mode Gust"
"Avg Sustained",1,0.768,0.991,0.92,0.991,0.941,0.605,0.846
"Max Gust",0.768,1,0.811,0.826,0.811,0.756,0.828,0.581
"Gust Sum",0.991,0.811,1,0.942,1,0.952,0.643,0.842
"Gust Sum >2m/s",0.92,0.826,0.942,1,0.942,0.95,0.731,0.71
"Gust Hours",0.991,0.811,1,0.942,1,0.952,0.643,0.842
"Minutes >2m/s",0.941,0.756,0.952,0.95,0.952,1,0.616,0.765
"Gust SD",0.605,0.828,0.643,0.731,0.643,0.616,1,0.309
"Mode Gust",0.846,0.581,0.842,0.71,0.842,0.765,0.309,1
