deployment_id,image_filename,total_butterflies,butterflies_direct_sun,timestamp,date,day_id,complete_day,AR_start
SC1,SC1_20231120093001.JPG,4,0,2023-11-20T09:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120100001.JPG,5,0,2023-11-20T10:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120103001.JPG,3,0,2023-11-20T10:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120110001.JPG,5,0,2023-11-20T11:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120113001.JPG,2,0,2023-11-20T11:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120120001.JPG,2,0,2023-11-20T12:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120123001.JPG,2,0,2023-11-20T12:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120130001.JPG,1,1,2023-11-20T13:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120133001.JPG,0,0,2023-11-20T13:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120140001.JPG,0,0,2023-11-20T14:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120143001.JPG,0,0,2023-11-20T14:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120150001.JPG,0,0,2023-11-20T15:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120153001.JPG,0,0,2023-11-20T15:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120160001.JPG,0,0,2023-11-20T16:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC1,SC1_20231120163001.JPG,0,0,2023-11-20T16:30:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
