deployment_id,image_filename,total_butterflies,butterflies_direct_sun,timestamp_str,timestamp
SC1,SC1_20231117120001.JPG,108,0,20231117120001,2023-11-17T12:00:01Z
SC1,SC1_20231117123001.JPG,72,0,20231117123001,2023-11-17T12:30:01Z
SC1,SC1_20231117130001.JPG,74,0,20231117130001,2023-11-17T13:00:01Z
SC1,SC1_20231117133001.JPG,59,0,20231117133001,2023-11-17T13:30:01Z
SC1,SC1_20231117140001.JPG,121,0,20231117140001,2023-11-17T14:00:01Z
SC1,SC1_20231117143001.JPG,71,0,20231117143001,2023-11-17T14:30:01Z
SC1,SC1_20231117150001.JPG,58,0,20231117150001,2023-11-17T15:00:01Z
SC1,SC1_20231117153001.JPG,59,0,20231117153001,2023-11-17T15:30:01Z
SC1,SC1_20231117160001.JPG,52,0,20231117160001,2023-11-17T16:00:01Z
SC1,SC1_20231117163001.JPG,51,0,20231117163001,2023-11-17T16:30:01Z
SC1,SC1_20231117170001.JPG,68,0,20231117170001,2023-11-17T17:00:01Z
SC1,SC1_20231117173001.JPG,51,0,20231117173001,2023-11-17T17:30:01Z
SC1,SC1_20231118063002.JPG,56,0,20231118063002,2023-11-18T06:30:02Z
SC1,SC1_20231118070001.JPG,33,0,20231118070001,2023-11-18T07:00:01Z
SC1,SC1_20231118073001.JPG,44,0,20231118073001,2023-11-18T07:30:01Z
SC1,SC1_20231118080001.JPG,55,0,20231118080001,2023-11-18T08:00:01Z
SC1,SC1_20231118083001.JPG,51,0,20231118083001,2023-11-18T08:30:01Z
SC1,SC1_20231118090001.JPG,42,0,20231118090001,2023-11-18T09:00:01Z
SC1,SC1_20231118093001.JPG,48,0,20231118093001,2023-11-18T09:30:01Z
SC1,SC1_20231118100001.JPG,46,0,20231118100001,2023-11-18T10:00:01Z
SC1,SC1_20231118103001.JPG,46,0,20231118103001,2023-11-18T10:30:01Z
SC1,SC1_20231118110001.JPG,56,0,20231118110001,2023-11-18T11:00:01Z
SC1,SC1_20231118113001.JPG,40,0,20231118113001,2023-11-18T11:30:01Z
SC1,SC1_20231118120001.JPG,47,0,20231118120001,2023-11-18T12:00:01Z
SC1,SC1_20231118123001.JPG,44,0,20231118123001,2023-11-18T12:30:01Z
SC1,SC1_20231118130001.JPG,28,0,20231118130001,2023-11-18T13:00:01Z
SC1,SC1_20231118133000.JPG,45,0,20231118133000,2023-11-18T13:30:00Z
SC1,SC1_20231118140001.JPG,41,0,20231118140001,2023-11-18T14:00:01Z
SC1,SC1_20231118143001.JPG,42,0,20231118143001,2023-11-18T14:30:01Z
SC1,SC1_20231118150001.JPG,3,0,20231118150001,2023-11-18T15:00:01Z
SC1,SC1_20231118153001.JPG,21,0,20231118153001,2023-11-18T15:30:01Z
SC1,SC1_20231118160001.JPG,16,0,20231118160001,2023-11-18T16:00:01Z
SC1,SC1_20231118163001.JPG,22,0,20231118163001,2023-11-18T16:30:01Z
SC1,SC1_20231118170001.JPG,23,0,20231118170001,2023-11-18T17:00:01Z
SC1,SC1_20231119063001.JPG,11,0,20231119063001,2023-11-19T06:30:01Z
SC1,SC1_20231119070001.JPG,14,0,20231119070001,2023-11-19T07:00:01Z
SC1,SC1_20231119073001.JPG,21,0,20231119073001,2023-11-19T07:30:01Z
SC1,SC1_20231119080001.JPG,13,3,20231119080001,2023-11-19T08:00:01Z
SC1,SC1_20231119083001.JPG,12,0,20231119083001,2023-11-19T08:30:01Z
SC1,SC1_20231119090001.JPG,21,0,20231119090001,2023-11-19T09:00:01Z
SC1,SC1_20231119093001.JPG,19,0,20231119093001,2023-11-19T09:30:01Z
SC1,SC1_20231119100001.JPG,14,0,20231119100001,2023-11-19T10:00:01Z
SC1,SC1_20231119103001.JPG,10,0,20231119103001,2023-11-19T10:30:01Z
SC1,SC1_20231119110001.JPG,9,2,20231119110001,2023-11-19T11:00:01Z
SC1,SC1_20231119113001.JPG,8,0,20231119113001,2023-11-19T11:30:01Z
SC1,SC1_20231119120001.JPG,7,0,20231119120001,2023-11-19T12:00:01Z
SC1,SC1_20231119123001.JPG,6,0,20231119123001,2023-11-19T12:30:01Z
SC1,SC1_20231119130001.JPG,4,0,20231119130001,2023-11-19T13:00:01Z
SC1,SC1_20231119133001.JPG,4,0,20231119133001,2023-11-19T13:30:01Z
SC1,SC1_20231119140001.JPG,0,0,20231119140001,2023-11-19T14:00:01Z
SC1,SC1_20231119143001.JPG,1,0,20231119143001,2023-11-19T14:30:01Z
SC1,SC1_20231119150001.JPG,0,0,20231119150001,2023-11-19T15:00:01Z
SC1,SC1_20231119153001.JPG,0,0,20231119153001,2023-11-19T15:30:01Z
SC1,SC1_20231119160001.JPG,2,0,20231119160001,2023-11-19T16:00:01Z
SC1,SC1_20231119163001.JPG,3,0,20231119163001,2023-11-19T16:30:01Z
SC1,SC1_20231119170001.JPG,2,0,20231119170001,2023-11-19T17:00:01Z
SC1,SC1_20231120063001.JPG,5,0,20231120063001,2023-11-20T06:30:01Z
SC1,SC1_20231120070001.JPG,4,0,20231120070001,2023-11-20T07:00:01Z
SC1,SC1_20231120073002.JPG,3,0,20231120073002,2023-11-20T07:30:02Z
SC1,SC1_20231120080001.JPG,2,2,20231120080001,2023-11-20T08:00:01Z
SC1,SC1_20231120083001.JPG,3,0,20231120083001,2023-11-20T08:30:01Z
SC1,SC1_20231120090001.JPG,3,0,20231120090001,2023-11-20T09:00:01Z
SC1,SC1_20231120093001.JPG,4,0,20231120093001,2023-11-20T09:30:01Z
SC1,SC1_20231120100001.JPG,5,0,20231120100001,2023-11-20T10:00:01Z
SC1,SC1_20231120103001.JPG,3,0,20231120103001,2023-11-20T10:30:01Z
SC1,SC1_20231120110001.JPG,5,0,20231120110001,2023-11-20T11:00:01Z
SC1,SC1_20231120113001.JPG,2,0,20231120113001,2023-11-20T11:30:01Z
SC1,SC1_20231120120001.JPG,2,0,20231120120001,2023-11-20T12:00:01Z
SC1,SC1_20231120123001.JPG,2,0,20231120123001,2023-11-20T12:30:01Z
SC1,SC1_20231120130001.JPG,1,1,20231120130001,2023-11-20T13:00:01Z
SC1,SC1_20231120133001.JPG,0,0,20231120133001,2023-11-20T13:30:01Z
SC1,SC1_20231120140001.JPG,0,0,20231120140001,2023-11-20T14:00:01Z
SC1,SC1_20231120143001.JPG,0,0,20231120143001,2023-11-20T14:30:01Z
SC1,SC1_20231120150001.JPG,0,0,20231120150001,2023-11-20T15:00:01Z
SC1,SC1_20231120153001.JPG,0,0,20231120153001,2023-11-20T15:30:01Z
SC1,SC1_20231120160001.JPG,0,0,20231120160001,2023-11-20T16:00:01Z
SC1,SC1_20231120163001.JPG,0,0,20231120163001,2023-11-20T16:30:01Z
SC1,SC1_20231120170001.JPG,0,0,20231120170001,2023-11-20T17:00:01Z
SC1,SC1_20231120173001.JPG,0,0,20231120173001,2023-11-20T17:30:01Z
SC1,SC1_20231120180001.JPG,0,0,20231120180001,2023-11-20T18:00:01Z
SC1,SC1_20231120183001.JPG,0,0,20231120183001,2023-11-20T18:30:01Z
SC1,SC1_20231120190001.JPG,0,0,20231120190001,2023-11-20T19:00:01Z
SC1,SC1_20231120193001.JPG,0,0,20231120193001,2023-11-20T19:30:01Z
SC1,SC1_20231120200001.JPG,0,0,20231120200001,2023-11-20T20:00:01Z
