effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.28261401342341835,0.12908335599429724,2.18939158535593,0.028568390732163433,0.029615284671033304,0.5356127421758035
fixed,cond,sustained_wind_centered,0.008385043204138538,0.013917832454929278,0.6024676063095448,0.5468629197204,-0.018893407150385524,0.0356634935586626
fixed,cond,gust_wind_centered,-0.0038613318149280543,0.010252256337092883,-0.3766323907604293,0.7064468130595557,-0.023955384995902634,0.016232721366046525
