effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.32007864048837015,0.11502872123512006,2.7825975726021124,0.005392564762676824,0.09462648967983714,0.5455307912969032
fixed,cond,sustained_wind_centered,0.015246152575150556,0.013619041806359089,1.1194732193296981,0.2629383097254019,-0.011446678869258571,0.041938984019559686
fixed,cond,gust_wind_centered,-0.009264126388295251,0.010063805256294429,-0.9205391154107422,0.35729110215393195,-0.028988822238057214,0.010460569461466711
fixed,cond,ambient_temp_centered,0.0959252050731839,0.01148163928886673,8.354661094970872,6.562083789591453e-17,0.07342160558352503,0.11842880456284277
fixed,cond,sunlight_centered,0.2615615487743033,0.13410959353102883,1.9503567335306704,0.051133614969645066,-0.0012884245278189654,0.5244115220764256
