Name,Model,RMSE,Sigma,Score_log,Score_spherical,R2_conditional,R2_marginal,ICC,AIC_wt,AICc_wt,BIC_wt,Performance_Score
gust_proportion,glmmTMB,5315.861141743636,2.053908602303571,-4.682900067544992,0.0199877601416243,0.7923617152761434,0.7748312009513041,0.07785498878576001,1,1,1,0.745731046904966
gust_growth_offset,glmmTMB,42.809532307037315,6.05465592862594,-4.2381770654432955,0.014054461219060614,0.01615927939529844,0.009653167257288677,0.006569528899276064,0,0,0,0.2857142857142857
gust_additive,glmmTMB,4537.740201428589,1.6620485961794973,-4.882074473847669,0.018444875130124556,0.7606025473237567,0.7465290805991011,0.055523003419561685,0,0,0,0.269646753745626
gust_random_slope,glmmTMB,4546.979693108158,1.7199446422514153,-4.855187104135486,0.017519374319682854,NA,NA,NA,0,0,0,0.25119539546111314
sustained_centered,glmmTMB,4667.34570610928,1.6968675609410597,-4.861019473998022,0.01765642764573475,0.7663822167413593,0.7566291467211439,0.04007493045619659,0,0,0,0.2506908349594668
sustained_baseline,glmmTMB,4667.376426494082,1.696866225174737,-4.861019401496132,0.017656446258027612,0.7663822855695833,0.7566291932195632,0.04007502986510236,0,0,0,0.25069051034413314
gust_centered,glmmTMB,4720.794697406723,1.703810589927799,-4.8575842610069735,0.017618784966306655,0.7685464495150788,0.7554120217077661,0.05370021821603908,0,0,0,0.24887281381359427
gust_baseline,glmmTMB,4720.837070912538,1.7038119133980962,-4.857584618974094,0.017618770304986684,0.7685469133638664,0.755412863895965,0.05369885627310747,0,0,0,0.2488711903683632
