mean,median,sd,min,max,q25,q75,iqr,n_zero,pct_zero,analysis,variable,n_total
81.37434002111922,37,100.02509350484218,0,770,9,119,110,43,2.2703273495248153,30-minute intervals,Total butterflies,1894
5.389123548046492,0,17.206219712691958,0,295,0,2,2,1293,68.26821541710665,30-minute intervals,Butterflies in sun,1894
132.36893203883497,83,140.01561469583382,0,770,22,213,191,4,3.8834951456310676,Sunset window,Total butterflies,103
132.79611650485427,42,201.77979451611765,0,1122,12,168.5,156.5,9,8.737864077669903,Sunset window,Butterflies in sun,103
