Analysis,Total obs,Zero sun (n),Zero sun (%),Mean sun,Median sun,Max sun
30-minute intervals,1894,1293,68.26821541710665,5.389123548046492,0,295
Sunset window,103,9,8.737864077669903,132.79611650485427,42,1122
