model,estimate,std.error,p.value,significant
relative,0.0029412151516769384,0.0021514318796759307,0.17159503703875245,FALSE
log_ratio,0.00513445341681347,0.004028635772530201,0.20249004202693832,FALSE
prop_wins,0.00700105234673087,0.004198221412523914,0.09539050623941403,FALSE
sqrt_abs,0.033009452830268037,0.03206874845728128,0.30332275585392493,FALSE
arcsinh,0.005172967756458953,0.004032226253622356,0.19952496687650928,FALSE
absolute,0.22723743841204339,0.3286606194899919,0.4893113633337227,FALSE
